! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
-0.12,-0.0000004128395,4.128395E-7,-14.700206939372
-0.1,-0.0000002140594,2.140594E-7,-15.357012290347
-0.08,-0.00000009943417,9.943417E-8,-16.123770019781
-0.06,-0.00000003949332,3.949332E-8,-17.047134293265
-0.04,-0.00000001143539,1.143539E-8,-18.286552904238
-0.02,-0.000000001734851,1.734851E-9,-20.172344306198
0,0.0000000004690453,4.690453E-10,-21.48032176366
0.02,0.0000000008882885,8.882885E-10,-20.841724538313
0.04,0.000000001076546,1.076546E-9,-20.649508068964
0.06,0.000000001290835,1.290835E-9,-20.467976541151
0.08,0.000000001505173,1.505173E-9,-20.314357995186
0.1,0.000000001805618,1.805618E-9,-20.13236292149
0.12,0.000000002054411,2.054411E-9,-20.003276648086
0.14,0.000000002283884,2.283884E-9,-19.897388334533
0.16,0.000000002589117,2.589117E-9,-19.771948946005
0.18,0.000000002829992,2.829992E-9,-19.68299195215
0.2,0.000000003146328,3.146328E-9,-19.577029778368
0.22,0.000000003470178,3.470178E-9,-19.479059947473
0.24,0.000000003802155,3.802155E-9,-19.387697825694
0.26,0.000000004039038,4.039038E-9,-19.32725929214
0.28,0.000000004377519,4.377519E-9,-19.246783711401
0.3,0.000000004693912,4.693912E-9,-19.17699948703
0.32,0.000000004985476,4.985476E-9,-19.116736951632
0.34,0.000000005269431,5.269431E-9,-19.061343449862
0.36,0.00000000560791,5.60791E-9,-18.999087735845
0.38,0.000000005885054,5.885054E-9,-18.950849920405
0.4,0.000000006321904,6.321904E-9,-18.879245408336
0.42,0.000000006355346,6.355346E-9,-18.873969488468
0.44,0.000000006662303,6.662303E-9,-18.826800616372
0.46,0.000000007080731,7.080731E-9,-18.765888685983
0.48,0.000000007445804,7.445804E-9,-18.7156151847
0.5,0.000000007545322,7.545322E-9,-18.702338068368
0.52,0.000000007873718,7.873718E-9,-18.659735459138
0.54,0.000000008314095,8.314095E-9,-18.605313569672
0.56,0.000000008851829,8.851829E-9,-18.542641732613
0.58,0.000000008867421,8.867421E-9,-18.540881838258
0.6,0.000000009084133,9.084133E-9,-18.516736571683
0.62,0.000000009447832,9.447832E-9,-18.477480539751
0.64,0.00000001001145,1.001145E-8,-18.419536398965
0.66,0.00000001015033,1.015033E-8,-18.405759619672
0.68,0.0000000103681,1.03681E-8,-18.384532052321
0.7,0.00000001065729,1.065729E-8,-18.357021671917
0.72,0.00000001131261,1.131261E-8,-18.297347804211
0.74,0.00000001147,1.147E-8,-18.283530905805
0.76,0.00000001187687,1.187687E-8,-18.248673025739
0.78,0.00000001237381,1.237381E-8,-18.207683694732
0.8,0.00000001281025,1.281025E-8,-18.173020205225
0.82,0.00000001290467,1.290467E-8,-18.165676575587
0.84,0.00000001334441,1.334441E-8,-18.132168266382
0.86,0.00000001376451,1.376451E-8,-18.101172296515
0.88,0.00000001451841,1.451841E-8,-18.047848337678
0.9,0.00000001447981,1.447981E-8,-18.050510571622
0.92,0.00000001472769,1.472769E-8,-18.03353644158
0.94,0.00000001510571,1.510571E-8,-18.008193018909
0.96,0.000000015771,1.5771E-8,-17.965093026441
0.98,0.00000001614861,1.614861E-8,-17.941431859093
1,0.00000001627971,1.627971E-8,-17.933346289798
1.02,0.00000001662188,1.662188E-8,-17.912545937189
1.04,0.00000001761987,1.761987E-8,-17.854238594445
1.06,0.00000001761448,1.761448E-8,-17.854544545884
1.08,0.00000001786584,1.786584E-8,-17.840375327265
1.1,0.00000001835559,1.835559E-8,-17.813331676684
1.12,0.00000001943597,1.943597E-8,-17.756140363931
1.14,0.00000001889181,1.889181E-8,-17.78453734213
1.16,0.00000001921558,1.921558E-8,-17.767544428634
1.18,0.00000001946186,1.946186E-8,-17.754809184078
1.2,0.00000002085441,2.085441E-8,-17.685700400275
1.22,0.00000002015384,2.015384E-8,-17.71987099599
1.24,0.00000002077662,2.077662E-8,-17.689437520906
1.26,0.00000002112317,2.112317E-8,-17.672895294674
1.28,0.00000002229809,2.229809E-8,-17.618764812373
1.3,0.00000002191643,2.191643E-8,-17.636029253094
1.32,0.00000002201035,2.201035E-8,-17.631753039672
1.34,0.00000002245895,2.245895E-8,-17.611576638506
1.36,0.00000002397635,2.397635E-8,-17.546197909107
1.38,0.00000002354829,2.354829E-8,-17.564212630585
1.4,0.00000002383642,2.383642E-8,-17.552051173811
1.42,0.00000002474471,2.474471E-8,-17.514654108151
1.44,0.0000000263812,2.63812E-8,-17.450614201685
1.46,0.00000002562041,2.562041E-8,-17.479876537483
1.48,0.00000002555485,2.555485E-8,-17.482438714436
1.5,0.00000002608114,2.608114E-8,-17.462053389187
1.52,0.00000002846476,2.846476E-8,-17.374599005986
1.54,0.00000002697157,2.697157E-8,-17.42848248866
1.56,0.00000002737067,2.737067E-8,-17.413793834836
