! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
-0.06,-0.00001255989,1.255989E-5,-11.285002154924
-0.04,-0.000008273166,8.273166E-6,-11.702493292685
-0.02,-0.000004094528,4.094528E-6,-12.405859109818
0,-0.00000002835053,2.835053E-8,-17.378620112062
0.02,0.000003928507,3.928507E-6,-12.447251102482
0.04,0.000007759113,7.759113E-6,-11.766642534426
0.06,0.0000114664,1.14664E-5,-11.376089538337
0.08,0.0000150606,1.50606E-5,-11.103428495749
0.1,0.00001853818,1.853818E-5,-10.895678168772
0.12,0.00002190125,2.190125E-5,-10.728966845145
0.14,0.00002514774,2.514774E-5,-10.590742526291
0.16,0.00002828957,2.828957E-5,-10.473017372484
0.18,0.00003132597,3.132597E-5,-10.371063091979
0.2,0.00003426652,3.426652E-5,-10.281341773776
0.22,0.0000371086,3.71086E-5,-10.201661809284
0.24,0.0000398702,3.98702E-5,-10.129881380281
0.26,0.00004254483,4.254483E-5,-10.06495221444
0.28,0.00004515776,4.515776E-5,-10.00534842133
0.3,0.00004769024,4.769024E-5,-9.9507837931652
0.32,0.00005017487,5.017487E-5,-9.899996254217
0.34,0.00005260622,5.260622E-5,-9.8526761942611
0.36,0.000054991,5.4991E-5,-9.8083410224853
0.38,0.0000573327,5.73327E-5,-9.7666394163916
0.4,0.00005964725,5.964725E-5,-9.7270625127463
0.42,0.00006192746,6.192746E-5,-9.6895468579035
0.44,0.00006418476,6.418476E-5,-9.6537447586258
0.46,0.00006641421,6.641421E-5,-9.6195995183538
0.48,0.0000686414,6.86414E-5,-9.5866147067222
0.5,0.0000708461,7.08461E-5,-9.5550006392142
0.52,0.00007301284,7.301284E-5,-9.5248752418718
0.54,0.00007515632,7.515632E-5,-9.4959403468316
0.56,0.00007731174,7.731174E-5,-9.4676647380943
0.58,0.00007939772,7.939772E-5,-9.4410409054887
0.6,0.00008149572,8.149572E-5,-9.4149600544339
0.62,0.00008358141,8.358141E-5,-9.3896894310222
0.64,0.00008565043,8.565043E-5,-9.3652363127748
0.66,0.00008768692,8.768692E-5,-9.3417378145212
0.68,0.00008971998,8.971998E-5,-9.318817071228
0.7,0.00009173781,9.173781E-5,-9.2965759408918
0.72,0.00009375843,9.375843E-5,-9.2747889771563
0.74,0.00009572593,9.572593E-5,-9.2540213453177
0.76,0.00009770336,9.770336E-5,-9.2335746085141
0.78,0.00009965308,9.965308E-5,-9.2138156036045
0.8,0.0001016438,0.0001016438,-9.1940360133556
0.82,0.0001035468,0.0001035468,-9.1754868735456
0.84,0.000105553,0.000105553,-9.1562973615253
0.86,0.0001074217,0.0001074217,-9.1387483478814
0.88,0.0001092364,0.0001092364,-9.1219962168633
0.9,0.000111129,0.000111129,-9.1048188692775
0.92,0.0001129508,0.0001129508,-9.0885582322954
0.94,0.0001147869,0.0001147869,-9.0724331920883
0.96,0.0001165523,0.0001165523,-9.0571704586575
0.98,0.0001183927,0.0001183927,-9.0415034928205
1,0.0001202005,0.0001202005,-9.026349376138
1.02,0.000121984,0.000121984,-9.0116206693726
1.04,0.0001236802,0.0001236802,-8.9978113560501
1.06,0.0001254735,0.0001254735,-8.9834159770674
1.08,0.0001272091,0.0001272091,-8.9696783687367
1.1,0.0001289845,0.0001289845,-8.9558183158606
1.12,0.000130587,0.000130587,-8.9434708866584
1.14,0.0001323361,0.0001323361,-8.9301656593627
1.16,0.0001341852,0.0001341852,-8.9162896226678
1.18,0.000135813,0.000135813,-8.9042316184082
1.2,0.0001374333,0.0001374333,-8.8923718494614
1.22,0.0001390619,0.0001390619,-8.8805914002198
1.24,0.0001406191,0.0001406191,-8.8694557414413
1.26,0.000142236,0.000142236,-8.8580229080789
1.28,0.0001439354,0.0001439354,-8.8461459701555
1.3,0.0001454053,0.0001454053,-8.83598554236
1.32,0.000146971,0.000146971,-8.8252752695591
1.34,0.0001485303,0.0001485303,-8.8147215801309
1.36,0.0001500957,0.0001500957,-8.8042374673035
1.38,0.0001516732,0.0001516732,-8.7937823516861
1.4,0.0001531845,0.0001531845,-8.783867480711
1.42,0.0001546877,0.0001546877,-8.7741023122728
1.44,0.0001564725,0.0001564725,-8.7626302822743
1.46,0.0001578325,0.0001578325,-8.7539762138512
1.48,0.000159314,0.000159314,-8.7446334604152
1.5,0.0001607852,0.0001607852,-8.7354412452563
1.52,0.0001621528,0.0001621528,-8.7269714573983
1.54,0.0001636854,0.0001636854,-8.7175642651028
1.56,0.0001650871,0.0001650871,-8.7090373445548
1.58,0.0001665337,0.0001665337,-8.700312866622
1.6,0.0001679244,0.0001679244,-8.6919966798414
1.62,0.0001693281,0.0001693281,-8.6836723050433
1.64,0.0001707138,0.0001707138,-8.6755220878463
